Jurisdiction,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race)
Allegany,27369,49808,1146,3919,20193,10153,4762,5695,3940,60058,29707,27491,2216,7.5,26999,81.8,9.5,0.6,3.2,0.7,4.2,49449,16583,10.1,95.5,32823,83.4,16.6,71002,58067,30438,27629,61485,5816,658,108,6,77,1527,1325
Anne Arundel,213122,397405,8332,18665,90238,79185,30097,98301,72587,460145,306772,293748,13024,4.2,302608,78.2,7.3,3.3,1.8,1.1,8.3,103225,148095,3.8,95.7,226330,94.2,5.8,575421,427898,210712,217186,385867,94409,21836,788,239,1667,24385,46230
Baltimore City,242499,421442,19208,41758,120066,81116,20779,70536,67979,491582,304946,281905,23041,7.6,276972,59.2,8.6,16.1,6.2,2.8,7.1,52164,119301,15,94,293936,82.5,17.5,602274,453527,206194,247333,164417,370749,14837,1575,179,2374,15516,32627
Baltimore,315347,576066,18071,30465,145165,111417,41935,131027,97986,669028,442568,420275,22293,5,412698,77.2,8.5,4.3,1.6,1.5,6.8,78724,203226,6.1,94.7,337580,93.4,6.6,828193,609934,281430,328504,465027,239709,49981,1711,337,2874,22375,46179
Calvert,32558,63226,737,2879,18397,14396,5196,11834,9787,73389,48879,47021,1858,3.8,47266,81.4,6.9,2.6,0.7,0.8,7.5,112696,24547,2.9,96.7,35421,91.9,8.1,92094,69955,34293,35662,71488,11260,1699,131,38,134,3526,3818
Caroline,12160,22722,1166,2410,8914,4273,1652,2583,1724,26340,16900,16078,822,4.9,15783,82.6,8.4,0.7,2.7,1.8,3.8,59042,8686,9.5,93.8,13645,89.1,10.9,33260,24228,11868,12360,25003,4374,170,39,0,64,1100,2510
Carroll,61261,117204,2035,6002,33707,22743,9407,26981,16329,136397,91349,88204,3145,3.4,87217,82.8,6.7,0.6,1.1,0.5,8.3,99569,45491,3,96.8,63767,96.1,3.9,168233,128996,63060,65936,148612,5949,3437,423,13,354,3228,6217
Cecil,37293,71365,2194,4914,25138,15694,5390,10932,7103,82415,53426,50643,2783,5.2,49939,80.9,10.2,1,1.6,1.5,4.8,79415,26271,6.4,95.8,42690,87.4,12.6,102889,77924,38437,39487,86797,6606,1541,81,7,53,3104,4700
Charles,57388,108750,2599,4408,33804,26084,9237,19169,13449,127572,85193,81467,3726,4.4,82067,80.2,6.7,5.4,0.8,0.7,6.2,103678,42022,4.5,95.8,61226,93.7,6.3,161448,119289,56493,62796,61795,75661,4966,913,39,645,7650,9779
Dorchester,13433,23120,801,2205,8873,5095,1551,2693,1902,26104,15856,14706,1150,7.3,14310,78.6,12.1,0.7,2.1,1,5.6,52799,8641,10.9,95.1,16754,80.2,19.8,31994,24552,11304,13248,20017,8112,377,12,0,5,1631,1840
